Fraction_Size	Depth	Lakes_names	Assembly	 contigs (>= 0 bp)	 contigs (>= 1000 bp)	 contigs (>= 5000 bp)	 contigs (>= 10000 bp)	 contigs (>= 25000 bp)	 contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	 contigs	Largest contig	Total length	N50	N90	auN	L50	L90	 N's per 100 kbp
S	E	RIMV	RIMVE-SM-01nov21.megahit.nv.contigs	3428284	477869	37085	11912	2414	614	2547765938	1213331611	422229187	252108504	113591122	53509258	1441426	438811	1867662567	1516	598	7413.2	247148	1099405	0.00
S	E	RIMV	RIMVE-SM-02nov20.megahit.nv.contigs	6054706	778585	63584	21647	4519	1112	4332879995	2026496135	743288467	458223526	206879805	92064733	2352801	429002	3095510060	1556	599	7486.1	387728	1786176	0.00
S	E	RIMV	RIMVE-SM-04apr22.megahit.nv.contigs	3534297	476683	37221	12163	2768	832	2588564849	1230093751	440156148	270736971	133305736	67954276	1414071	386279	1869387903	1561	604	7847.8	235919	1073186	0.00
S	E	RIMV	RIMVE-SM-06apr21.megahit.nv.contigs	4401667	568792	24242	6459	1200	298	3006555649	1164788983	248263017	129878801	54726561	24528547	2035567	454878	2160179204	1083	574	3722.4	487333	1631893	0.00
S	E	RIMV	RIMVE-SM-06jun22.megahit.nv.contigs	3212990	399811	23790	6031	907	182	2145647736	898572732	230832126	111642105	38809133	14526419	1268869	477607	1486977028	1290	584	4165.9	262314	993261	0.00
S	E	RIMV	RIMVE-SM-07jun21.megahit.nv.contigs	3114244	403335	21460	6079	1174	301	2150637462	893299147	229425378	126643327	54992103	25983431	1339892	325169	1526669380	1218	579	4933.7	285059	1055769	0.00
S	E	RIMV	RIMVE-SM-08jun20.megahit.nv.contigs	4787304	541385	38812	12188	2319	531	3134698827	1314612917	427845111	247244132	103752201	43949289	1734259	466924	2123189999	1363	588	5946.1	322546	1342088	0.00
S	E	RIMV	RIMVE-SM-09aug21.megahit.nv.contigs	3270692	415315	26616	7572	1287	298	2239156896	960746344	278259680	150030388	59531464	26285750	1308361	611271	1569165052	1315	590	5455.5	260461	1019046	0.00
S	E	RIMV	RIMVE-SM-10aug20.megahit.nv.contigs	3777401	488798	31155	9382	1906	475	2642710486	1142900094	346271075	199221248	89790640	40836910	1574823	630125	1882591462	1297	589	6093.9	310459	1227313	0.00
S	E	RIMV	RIMVE-SM-11oct21.megahit.nv.contigs	3278674	469011	37830	12326	2520	636	2485097836	1210549748	434710023	262021062	119182774	55711230	1398702	629273	1841852844	1564	599	7970.1	233160	1061894	0.00
S	E	RIMV	RIMVE-SM-12oct20.megahit.nv.contigs	3654275	527974	36841	11510	2370	540	2737197021	1282191056	410400658	239375013	105693641	43841759	1608839	536027	2019337719	1419	597	6144.3	296528	1238574	0.00
