Fraction_Size	Depth	Lakes_names	Assembly	 contigs (>= 0 bp)	 contigs (>= 1000 bp)	 contigs (>= 5000 bp)	 contigs (>= 10000 bp)	 contigs (>= 25000 bp)	 contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	 contigs	Largest contig	Total length	N50	N90	auN	L50	L90	 N's per 100 kbp
L	H	MAJC	MAJCH-LM-01sep20.megahit.nv.contigs	2421937	340165	26028	9125	1573	241	1825389185	836422657	287882408	172467528	60826201	17112043	1094666	272819	1350240691	1363	592	5189.6	200557	846093	0.00
S	H	MAJC	MAJCH-SM-01sep20.megahit.nv.contigs	4754169	556473	45697	15172	2817	620	3199957387	1428245902	510696507	303121082	121267492	48483731	1664750	339508	2183219884	1546	601	6412.9	280893	1265671	0.00
S	H	MAJC	MAJCH-SM-04may22.megahit.nv.contigs	3876940	459564	29094	8370	1471	320	2535429059	1062595629	302380520	162905766	62745634	24373202	1437165	234494	1725778387	1331	588	4726.8	285177	1118288	0.00
			
S	E	MALA	MALAE-SM-18aug21.megahit.nv.contigs	5256562	608462	38382	10839	1931	451	3413801254	1405919538	397908506	212663210	84468372	35397725	1949970	289509	2313817790	1307	584	4799.2	389021	1521191	0.00
S	E	MALA	MALAE-SM-19may22.megahit.nv.contigs	4359973	514677	25523	6581	986	192	2820137378	1087579218	246786678	120142387	40397562	14155430	1754411	200545	1927632291	1150	576	3371.2	398981	1394858	0.00
S	H	MALA	MALAH-SM-18aug21.megahit.nv.contigs	5195567	629601	43815	13763	2494	512	3508187551	1506034301	473723429	270031536	105411693	39545416	1998877	380285	2434804937	1355	589	5280.5	379173	1549247	0.00
S	H	MALA	MALAH-SM-19may22.megahit.nv.contigs	4089313	508969	27489	7376	1155	194	2709580402	1113912764	270791142	135997944	46481801	14445375	1632453	218264	1876110654	1242	583	3722.0	350431	1284467	0.00
			
S	M	MARK	MARKM-SM-01sep21.megahit.nv.contigs	4310932	467404	33867	10405	1839	350	2753756000	1128247824	359848790	200904938	76845427	26979454	1510018	384074	1832691895	1352	585	5204.8	283397	1170515	0.00
S	M	MARK	MARKM-SM-19may22.megahit.nv.contigs	3470830	355698	22764	6534	1037	194	2112191932	816905474	231482591	121994480	42398222	14412815	1157362	269501	1360001919	1280	584	4323.5	233850	905127	0.00
			
L	E	MEDD	MEDDE-LM-14apr20.megahit.nv.contigs	3707837	414341	20868	5955	1235	393	2426272633	904028766	233392874	133592803	65279704	37097348	1559744	386974	1674973851	1092	570	5591.3	350589	1245497	0.00
L	E	MEDD	MEDDE-LM-14jul20.megahit.nv.contigs	3813944	426383	27668	8779	2023	659	2559417002	1013109498	335255990	207407924	108664149	62462765	1554886	907761	1780007810	1175	579	8806.9	312354	1223807	0.00
L	E	MEDD	MEDDE-LM-19oct20.megahit.nv.contigs	3812204	397373	20016	6288	1452	411	2450692867	874990593	239612837	147721082	76264352	41104626	1556216	706851	1659397252	1059	571	7074.0	353327	1245179	0.00
S	E	MEDD	MEDDE-SM-04may21.megahit.nv.contigs	2409288	370377	38360	14676	3751	1018	2008689822	1110664982	501842968	340098224	177742334	85757199	989801	408941	1535594067	2132	636	11595.5	124554	716932	0.00
S	E	MEDD	MEDDE-SM-14apr20.megahit.nv.contigs	2639479	354097	29934	9868	2132	573	1939362816	947147063	356873497	220711493	106927134	54535679	1027835	488530	1404392215	1685	604	9826.3	160946	771992	0.00
S	E	MEDD	MEDDE-SM-14jul20.megahit.nv.contigs	1996421	262557	27071	9484	2462	840	1548398706	797723487	360330193	240500442	137134044	81568392	760334	907719	1136330142	2061	618	16102.6	95182	555413	0.00
S	E	MEDD	MEDDE-SM-19oct20.megahit.nv.contigs	2091314	264960	26557	8827	1644	452	1525384134	742912515	308076393	186686375	82146662	42312239	776813	464576	1091263974	1786	610	9652.0	112803	578772	0.00
L	H	MEDD	MEDDH-LM-14jul20.megahit.nv.contigs	1844838	263352	25620	10514	3244	1128	1571615587	816849730	390887753	287956477	178477208	105861671	846850	979718	1214131859	1847	609	17121.1	102730	626445	0.00
L	H	MEDD	MEDDH-LM-15apr20.megahit.nv.contigs	2647445	293619	20260	7163	1906	593	1824719893	745404547	271480113	182806062	104109347	59692645	1088930	596133	1278434164	1245	575	10936.8	197865	850018	0.00
L	H	MEDD	MEDDH-LM-20oct20.megahit.nv.contigs	2886340	379855	25873	8648	2200	740	2123774345	942538305	323607259	206940191	112111269	62506695	1275530	474537	1549926890	1327	586	7996.2	233043	988743	0.00
S	H	MEDD	MEDDH-SM-14jul20.megahit.nv.contigs	1687960	298788	38846	15278	4084	1416	1658137409	1053320227	555008228	393461833	226395695	135489333	706274	644863	1334186578	3288	688	20527.6	66814	478360	0.00
S	H	MEDD	MEDDH-SM-15apr20.megahit.nv.contigs	2064148	305315	32499	11883	2645	723	1690679650	913808046	407256398	266172357	129387656	64736812	846762	559821	1280912574	2098	619	11771.5	108323	615528	0.00
S	H	MEDD	MEDDH-SM-20oct20.megahit.nv.contigs	2442703	369023	38495	14525	3859	1177	2028616841	1134891774	520018317	356547006	197498342	106102335	958606	889429	1539917881	2296	646	14276.8	115783	686883	0.00
			
L	E	MILA	MILAE-LM-05may20.megahit.nv.contigs	3663314	487870	27161	7469	1444	427	2552471326	1101216969	289100494	157629182	71434812	36724633	1561389	391711	1829060002	1283	584	5264.0	321976	1222633	0.00
L	E	MILA	MILAE-LM-05oct20.megahit.nv.contigs	4232884	383019	20429	5364	1022	342	2612463850	828118375	217656893	116912621	54954464	31921750	1707954	492256	1721323070	963	562	4910.8	416202	1383003	0.00
L	E	MILA	MILAE-LM-27jul20.megahit.nv.contigs	4215061	456938	48261	16141	1791	278	2918739317	1240774174	498646795	277899958	71106858	22202548	1638162	370066	2039804181	1408	586	5305.2	267586	1260610	0.00
S	E	MILA	MILAE-SM-05may20.megahit.nv.contigs	2952583	403794	39511	13313	3084	841	2245197974	1156444987	477011471	299104644	148010296	72152224	1117457	504612	1641486525	1970	618	9892.3	155947	821497	0.00
S	E	MILA	MILAE-SM-05oct20.megahit.nv.contigs	2257315	271287	28521	10489	2455	742	1617709743	818181937	368677209	245239305	126948306	68485277	736244	809806	1135501020	2148	629	13770.7	92541	533148	0.00
S	E	MILA	MILAE-SM-27jul20.megahit.nv.contigs	3424426	324198	23578	7837	1564	415	2143124529	796482628	274631981	167930112	76006367	37749908	1226357	816903	1407281234	1179	577	7364.4	238309	963968	0.00
L	H	MILA	MILAH-LM-05may20.megahit.nv.contigs	2776443	374515	34161	13083	3299	947	2132524910	1062653667	452635746	309007620	162212039	82305440	1130699	369287	1574742859	1734	603	10705.3	159599	843496	0.00
L	H	MILA	MILAH-LM-05oct20.megahit.nv.contigs	2519625	390605	36692	13354	3379	1078	2112280567	1125557304	479434232	320360547	173150899	94213683	1121194	652179	1624323606	1877	618	11748.7	153933	828293	0.00
L	H	MILA	MILAH-LM-28jul20.megahit.nv.contigs	4583900	466169	28070	9876	2648	734	2973591331	1098254109	360712550	237839030	129783663	64299271	1818168	906517	2014467899	1106	573	7470.0	379480	1441537	0.00
S	H	MILA	MILAH-SM-05may20.megahit.nv.contigs	3142771	355520	26666	8214	2061	652	2204271865	899260206	319284303	194472721	104655728	56096971	1346728	490117	1562099431	1225	570	7729.4	248135	1054096	0.00
S	H	MILA	MILAH-SM-05oct20.megahit.nv.contigs	2953459	450790	44836	16446	4171	1220	2439333225	1336151233	585068503	391674297	209033114	108324731	1201751	372906	1850875196	2109	635	12222.6	155765	872223	0.00
S	H	MILA	MILAH-SM-28jul20.megahit.nv.contigs	2488463	358463	31934	12112	3288	986	1971102579	1021704620	432581382	297815176	165887195	87526351	1015874	419510	1471684993	1842	620	12088.1	141033	751045	0.00
			
L	E	MOND	MONDE-LM-13jul20.megahit.nv.contigs	73320	2971	12	6	1	0	39422243	3770825	151525	117966	36403	0	34220	36403	24694637	710	539	894.8	13429	29458	0.00
S	E	MOND	MONDE-SM-13jul20.megahit.nv.contigs	4300490	479532	29207	8128	1368	300	2732033479	1085873821	297251304	155462979	58673464	23117180	1556548	261306	1816504374	1264	583	4417.8	320579	1219385	0.00
S	E	MOND	MONDE-SM-25apr22.megahit.nv.contigs	1171155	137886	9428	2235	378	100	812708491	320849696	91631584	43564325	17457184	7813636	497559	201778	559965369	1207	565	4353.5	100527	391927	0.00
L	H	MOND	MONDH-LM-13jul20.megahit.nv.contigs	4455493	449392	22708	6524	1220	285	2780243177	959052565	239984059	131222559	53928043	22485122	1762394	316580	1845411621	1041	567	3949.0	413761	1415492	0.00
S	H	MOND	MONDH-SM-13jul20.megahit.nv.contigs	4649976	438566	28974	8257	1467	341	2708044775	1029352129	302155188	162418237	64266392	26605678	1368286	579087	1661436340	1354	589	5076.9	266322	1061524	0.00
S	H	MOND	MONDH-SM-25apr22.megahit.nv.contigs	3191406	381883	25170	7850	1622	398	2139325729	908928485	280252716	163224873	72010399	30826346	1211564	361867	1472164576	1346	588	5633.4	231602	939641	0.00
			
L	E	MOST	MOSTE-LM-03aug20.megahit.nv.contigs	4071107	363690	23897	8154	1661	375	2565807182	843961905	275730266	168915659	72302007	30280305	1641725	270072	1705310797	989	564	4959.1	372435	1320186	0.00
L	E	MOST	MOSTE-LM-20apr20.megahit.nv.contigs	3442525	404698	18565	3841	803	237	2253549268	869269706	180283350	84205895	40597576	21328549	1419209	342765	1551401702	1152	572	4155.9	317320	1128599	0.00
L	E	MOST	MOSTE-LM-29sep20.megahit.nv.contigs	3628077	516635	26565	6817	1531	444	2590230590	1154579136	283607763	153505125	76682141	39892578	1584475	656402	1885498189	1307	593	5743.6	329994	1237907	0.00
S	E	MOST	MOSTE-SM-03aug20.megahit.nv.contigs	2457101	341889	35241	10715	2029	660	1870309023	983631444	404102235	237474248	112225587	66482421	905019	836478	1367810229	2089	629	11852.5	126207	660385	0.00
S	E	MOST	MOSTE-SM-20apr20.megahit.nv.contigs	2169123	269357	22889	6816	1317	376	1545188068	701228673	254554782	145680407	65742694	33675088	856061	519923	1095697089	1508	586	7804.4	142359	653237	0.00
S	E	MOST	MOSTE-SM-29sep20.megahit.nv.contigs	2205204	258451	30600	10835	2604	826	1582642602	831701377	395613060	260525703	139577882	79266558	648835	670942	1098418422	2642	653	15993.4	73958	455676	0.00
L	H	MOST	MOSTH-LM-04aug20.megahit.nv.contigs	4395953	490672	27595	8217	1757	519	2932133989	1091198027	310126260	179484846	86109356	44122489	1891583	400834	2040747169	1077	572	5283.4	422357	1509703	0.00
L	H	MOST	MOSTH-LM-21apr20.megahit.nv.contigs	2995656	379390	22850	8204	2373	605	2129601497	917073136	296488408	198325049	110014958	49703265	1295377	535686	1535572430	1282	582	7346.9	246551	1010242	0.00
L	H	MOST	MOSTH-LM-29sep20.megahit.nv.contigs	2953424	399007	29459	10129	2633	795	2233635466	1028227108	374592253	244253791	133132534	70784676	1310888	828271	1647861341	1407	591	9438.4	224470	1007375	0.00
S	H	MOST	MOSTH-SM-04aug20.megahit.nv.contigs	3353018	412993	34178	11512	2877	878	2344557805	1120356629	427529190	274624309	147509972	79386771	1168110	486844	1635463873	1751	613	10363.2	178365	872058	0.00
S	H	MOST	MOSTH-SM-21apr20.megahit.nv.contigs	3192582	359747	30958	9951	2210	577	2118934249	965614209	358993136	217378616	103700228	48358299	1051738	519685	1433032352	1709	600	8262.7	164631	789589	0.00
S	H	MOST	MOSTH-SM-29sep20.megahit.nv.contigs	3528456	417461	38297	13492	2988	845	2428450634	1162278296	469430645	300252755	145402244	73420979	1167177	577195	1673438231	1834	617	9936.7	169757	864963	0.00
			
S	M	NMUS	NMUSM-SM-11aug21.megahit.nv.contigs	663673	126188	17617	9265	3946	1834	872838500	608412931	409590358	351776270	269723137	195088272	338800	1055280	753391035	7390	697	48893.2	12180	210592	0.00
S	M	NMUS	NMUSM-SM-24may22.megahit.nv.contigs	1355162	243368	22491	10510	3815	1375	1338927574	789358331	391071815	309339116	205415043	121169504	694601	518259	1095758743	2214	623	18291.5	72805	498142	0.00
			
S	M	NVAL	NVALM-SM-11aug21.megahit.nv.contigs	1522549	297853	39010	16244	4503	1441	1640013471	1061551391	570671637	413757367	236422374	132211981	746230	861100	1367896001	3219	665	19194.7	67578	508508	0.00
S	M	NVAL	NVALM-SM-24may22.megahit.nv.contigs	1717440	304855	29131	9831	2250	678	1548750877	870569411	356369663	225560832	113742813	60556679	843637	850592	1236536964	1959	617	11248.0	118457	620651	0.00
			
S	E	ORTA	ORTAE-SM-12jul21.megahit.nv.contigs	2378989	365414	28672	10551	2701	929	1954475603	994497385	394269797	271416524	154699808	94909067	1123861	732585	1510032283	1599	602	14002.5	171887	848274	0.00
S	E	ORTA	ORTAE-SM-18may22.megahit.nv.contigs	1792752	302844	28829	8511	1666	583	1538763968	849892116	329289049	192428448	94148358	57993539	820511	811303	1200879244	1983	616	11818.6	119883	603605	0.00
S	H	ORTA	ORTAH-SM-12jul21.megahit.nv.contigs	2266307	336148	34244	12228	2983	885	1827927291	1003059588	438631882	288771480	152391741	81259824	880886	965376	1375691756	2186	635	13165.5	113407	636376	0.00
S	H	ORTA	ORTAH-SM-18may22.megahit.nv.contigs	2449602	357230	33681	12205	3002	862	1926579607	1022302509	426896670	280670234	144617992	71734823	968594	408663	1438733265	1966	622	10275.3	133794	710167	0.00
			
S	M	PAMV	PAMVM-SM-15sep21.megahit.nv.contigs	3395246	561665	48114	14646	2815	732	2826768817	1477704379	531810702	305705096	133935706	64058658	1623582	700781	2199535602	1674	605	7981.0	262861	1223375	0.00
S	M	PAMV	PAMVM-SM-24mar22.megahit.nv.contigs	1560821	255949	19414	6603	1757	519	1289096896	679601917	247205550	161011310	88746307	46610931	719341	490914	995032815	1718	610	9988.7	113842	538929	0.00
			
S	E	PAVN	PAVNE-SM-22sep21.megahit.nv.contigs	1379531	268301	27155	9805	2724	892	1357988904	823892522	366329478	248818409	143537307	80926121	690980	797425	1111788037	2338	637	14591.9	85100	493675	0.00
S	E	PAVN	PAVNE-SM-24may22.megahit.nv.contigs	1717695	298486	30677	12117	3274	974	1609697590	904215633	418599633	291752032	158895462	80747637	885802	511515	1302758685	1960	613	11979.2	110396	650237	0.00
S	H	PAVN	PAVNH-SM-22sep21.megahit.nv.contigs	2187018	396588	39034	14773	4139	1316	2046554036	1196699302	535183979	370044605	211408507	115145465	1054988	422888	1646654365	2163	633	13270.1	131721	761885	0.00
S	H	PAVN	PAVNH-SM-24may22.megahit.nv.contigs	1717795	320393	32154	11118	2601	748	1597748991	939458445	396781277	254125085	127926458	65322299	830291	617585	1287678631	2161	633	11103.1	111330	601167	0.00
			
S	M	PEPS	PEPSM-SM-09aug21.megahit.nv.contigs	4882038	550330	36932	10876	1834	316	3148362228	1290851065	380630049	204959693	72953370	22241254	1768301	225426	2115176751	1323	585	4433.9	345761	1376484	0.00
S	M	PEPS	PEPSM-SM-22may22.megahit.nv.contigs	3223054	393752	26685	7183	1102	219	2145162812	923134168	264841926	133586765	46257552	16776235	1196727	405009	1469484107	1389	593	4549.9	232307	926388	0.00
			
L	E	PIBR	PIBRE-LM-20jul20.megahit.nv.contigs	5369696	719336	32384	11188	1980	444	3712330975	1513195811	371178253	227509977	91879903	40789552	2457872	682194	2697898308	1135	579	5030.3	564838	1956441	0.00
S	E	PIBR	PIBRE-SM-20jul20.megahit.nv.contigs	2545835	372658	24778	8312	2334	866	1927616013	949916250	337350313	226220054	138189839	87593526	1076527	625918	1433396952	1540	611	12930.6	181550	816820	0.00
S	E	PIBR	PIBRE-SM-23jun22.megahit.nv.contigs	1961547	308025	23538	8837	2514	804	1595586310	837552149	326656856	227150839	132858024	74184699	874381	524600	1223834741	1720	612	12368.3	131736	653009	0.00
L	H	PIBR	PIBRH-LM-20jul20.megahit.nv.contigs	1976031	352519	41444	18164	5713	1912	2012231337	1226771714	652186666	492130606	302793962	172416044	974298	917398	1651544961	2720	644	19240.6	89908	682708	0.00
S	H	PIBR	PIBRH-SM-20jul20.megahit.nv.contigs	1045948	206265	26750	11465	3269	1049	1134045990	737985264	401189831	295856990	172434405	97204826	509838	513193	947154437	3249	678	19660.7	44947	346950	0.00
S	H	PIBR	PIBRH-SM-23jun22.megahit.nv.contigs	2018646	288664	25145	9000	2118	720	1618160227	798347471	327564594	217450160	116309476	69380251	927438	841510	1229476308	1584	594	12067.4	139658	701450	0.00
			
L	E	PLES	PLESE-LM-01jun20.megahit.nv.contigs	1662949	277344	30789	12967	4237	1695	1642832792	960224106	515121621	392561006	261671548	173529276	830032	717612	1337635342	2440	631	25269.8	76486	591300	0.00
L	E	PLES	PLESE-LM-06aug20.megahit.nv.contigs	1457262	210503	23158	11347	4726	2030	1429590661	824922856	490391567	409780210	307878369	213331477	689890	993789	1149376891	2842	623	36025.9	46137	483524	0.00
S	E	PLES	PLESE-SM-01jun20.megahit.nv.contigs	1167018	243569	34030	15963	5661	2485	1499104546	1031956251	638698205	514461546	358656756	248165064	634383	858114	1299661335	4716	687	34228.0	36324	412191	0.00
S	E	PLES	PLESE-SM-06aug20.megahit.nv.contigs	1356736	258240	32963	16054	6095	2652	1626678534	1074768505	665173858	548336666	395861040	275478755	718493	1009013	1388909591	4264	663	37571.2	39315	476992	0.00
L	H	PLES	PLESH-LM-01jun20.megahit.nv.contigs	1790907	286702	28378	12448	4201	1713	1699634962	952547025	493905370	384769527	259887941	173410019	896061	738216	1367604182	2101	618	23883.4	90747	649579	0.00
L	H	PLES	PLESH-LM-06aug20.megahit.nv.contigs	1486561	279835	33284	15271	5803	2326	1683268891	1072499433	620352481	496694493	351712566	230390118	788299	858355	1418758463	3287	650	29451.3	55505	538614	0.00
S	H	PLES	PLESH-SM-01jun20.megahit.nv.contigs	1346407	250137	38202	18355	6667	2736	1672569398	1123604386	726024529	588680003	410151679	273408171	698610	785620	1426174922	5333	664	35522.8	35696	449976	0.00
S	H	PLES	PLESH-SM-06aug20.megahit.nv.contigs	1584400	312595	42553	19899	7181	2886	1927708367	1281906138	779046236	622848865	428549351	278822631	854888	785627	1651282411	4140	664	29706.4	52811	567650	0.00
			
S	E	PRSC	PRSCE-SM-22mar22.megahit.nv.contigs	2517651	348291	27959	9380	2070	583	1906651252	899517656	331731731	205640838	98525119	48702688	1115311	287668	1419396135	1452	592	7706.3	188435	854218	0.00
S	E	PRSC	PRSCE-SM-22sep21.megahit.nv.contigs	2439205	375502	26977	9426	2740	870	1954680813	986047260	358838019	241389852	141406786	77288914	1116316	760361	1488791455	1594	600	10411.4	180424	844086	0.00
S	H	PRSC	PRSCH-SM-22mar22.megahit.nv.contigs	2487012	328313	27987	9376	2095	562	1861191912	868405825	331281253	205064187	98352081	47049004	1068134	336457	1368788701	1479	592	7878.0	174479	815996	0.00
S	H	PRSC	PRSCH-SM-22sep21.megahit.nv.contigs	1760594	287982	31719	11963	3098	945	1564985405	903004939	424174991	289418576	157461922	84190392	762070	388713	1226187145	2366	635	13503.9	88896	544062	0.00
			
L	E	RIMV	RIMVE-LM-02nov20.megahit.nv.contigs	4170695	396124	14789	4249	997	307	2531783652	805788934	169211720	99532852	51486261	28065668	1647983	549134	1646089834	979	561	4601.7	413569	1336691	0.00
